full_text,case_folding CPMK2,preprocessing CPMK3
Pengamat: Kebijakan Purbaya Effect Pernah Dilakukan Saat Pandemi https://t.co/1F6tef2aIa via @InvestorID,pengamat: kebijakan purbaya effect pernah dilakukan saat pandemi https://t.co/1f6tef2aia via @investorid,amat bijak effect pandemi via
Sumitronomics di Era Prabowo: Menkeu Purbaya dengan Gaya Koboinya yang Menantang Pasar demi Target 8 Persen https://t.co/jqgIMYrmFg,sumitronomics di era prabowo: menkeu purbaya dengan gaya koboinya yang menantang pasar demi target 8 persen https://t.co/jqgimyrmfg,sumitronomics era prabowo gaya koboi tantang pasar target persen
Menteri Keuangan (Menkeu) RI Purbaya Yudhi Sadewa mengancam para pengemplang pajak dengan total Rp60 T buat segera melunasi kewajiban pajaknya dalam tenggat waktu 1 minggu ke depan. Lebih lanjut Menkeu Purbaya juga mengklaim udah mengantongi informasi soal penggelapan pajak https://t.co/mirmqtJr7f,menteri keuangan (menkeu) ri purbaya yudhi sadewa mengancam para pengemplang pajak dengan total rp60 t buat segera melunasi kewajiban pajaknya dalam tenggat waktu 1 minggu ke depan. lebih lanjut menkeu purbaya juga mengklaim udah mengantongi informasi soal penggelapan pajak https://t.co/mirmqtjr7f,menteri uang republik indonesia yudhi sadewa ancam kemplang pajak total rupiah triliun lunas wajib pajak tenggat minggu klaim kantong informasi gelap pajak
# MAHALNYA LISTRIK DARI PENGOLAH SAMPAH JADI ENERGI LISTRIK (PSEL) Listrik yang dihasilkan dari sampah itu mahal banget PLN aja ngos-ngosan belinya. Soalnya angkut sampahnya mahal proses mahal mesinnya mahal. #sampah #purbaya #menkeu #listrik #subsidi https://t.co/0ww48QS0pW,# mahalnya listrik dari pengolah sampah jadi energi listrik (psel) listrik yang dihasilkan dari sampah itu mahal banget pln aja ngos-ngosan belinya. soalnya angkut sampahnya mahal proses mahal mesinnya mahal. #sampah #purbaya #menkeu #listrik #subsidi https://t.co/0ww48qs0pw,mahal listrik olah sampah energi listrik psel listrik hasil sampah mahal banget pln aja ngos ngosan beli angkut sampah mahal proses mahal mesin mahal sampah listrik subsidi
Emang kalo dua orang goblok ngobrol kaya udah mau menaklukkan dunia gitu. Ini dua orang kantor satu staf kek kampang kerja ga bisa bikin KKL ga bisa temuan nihil ngobrol soal kebijakan keuangan purbaya sama kabag yang ngetik di word aja ga bisa. ANJEEENG KUPING GW SAKEEET,emang kalo dua orang goblok ngobrol kaya udah mau menaklukkan dunia gitu. ini dua orang kantor satu staf kek kampang kerja ga bisa bikin kkl ga bisa temuan nihil ngobrol soal kebijakan keuangan purbaya sama kabag yang ngetik di word aja ga bisa. anjeeeng kuping gw sakeeet,emang orang goblok ngobrol kaya takluk dunia gitu orang kantor staf kek kampang kerja bikin kkl temu nihil ngobrol bijak uang kabag ngetik word aja anjeng kuping saket
Anggota Badan Anggaran DPR RI dari Fraksi Partai Demokrat @faujiahelgatampubolon optimis Menteri Keuangan baru Purbaya Yudhi Sadewa mampu menjaga keseimbangan fiskal dan moneter dalam rangka mencapai visi Indonesia Emas 2045. #PartaiDemokrat #pdemokrat #Demokrat #AHY https://t.co/iByb1XyWHF,anggota badan anggaran dpr ri dari fraksi partai demokrat @faujiahelgatampubolon optimis menteri keuangan baru purbaya yudhi sadewa mampu menjaga keseimbangan fiskal dan moneter dalam rangka mencapai visi indonesia emas 2045. #partaidemokrat #pdemokrat #demokrat #ahy https://t.co/ibyb1xywhf,anggota badan anggar dpr republik indonesia fraksi partai demokrat optimis menteri uang yudhi sadewa jaga imbang fiskal moneter rangka capai visi indonesia emas partaidemokrat pdemokrat demokrat ahy
Ini sudut pandang dari kaidah ekonomi. Beberapa poin yang saya tulis ini pernah diungkap Pak Menkeu Purbaya di beberapa kesempatan. Jika kondisi ekonomi lesu daya beli turun katalis dari makro minim serta pertumbuhan dari swasta tidak bisa didorong lagi maka hanya pemerintah https://t.co/hNXMGzs0pJ,ini sudut pandang dari kaidah ekonomi. beberapa poin yang saya tulis ini pernah diungkap pak menkeu purbaya di beberapa kesempatan. jika kondisi ekonomi lesu daya beli turun katalis dari makro minim serta pertumbuhan dari swasta tidak bisa didorong lagi maka hanya pemerintah https://t.co/hnxmgzs0pj,sudut pandang kaidah ekonomi poin tulis ungkap sempat kondisi ekonomi lesu daya beli turun katalis makro minim tumbuh swasta dorong perintah
Mantri BRI teko Lapo sih mas koyo kekurangan duit bank e kurang opo pak Purbaya menggelontorkan Wang Kene cair ke meneh wae. Bakul matengan Bayoran lama,mantri bri teko lapo sih mas koyo kekurangan duit bank e kurang opo pak purbaya menggelontorkan wang kene cair ke meneh wae. bakul matengan bayoran lama,mantri bri teko lapo mas koyo kurang duit bank e opo gelontor wang kene cair teh wae bakul matengan bayoran
Sepertinya ada yg salah memahami perkataan Menkeu Purbaya Saya sudah 15 tahun di pasar... Hasil kunjungan² gak genah ini nanti akan dia laporkan ke Presiden dg gaya seperti waktu deklarasi paslon Tenang Pak Prabowo tenang... Saya sudah di pasar.... ,sepertinya ada yg salah memahami perkataan menkeu purbaya saya sudah 15 tahun di pasar... hasil kunjungan² gak genah ini nanti akan dia laporkan ke presiden dg gaya seperti waktu deklarasi paslon tenang pak prabowo tenang... saya sudah di pasar.... ,salah paham kata pasar hasil kunjung genah lapor presiden gaya deklarasi paslon tenang prabowo tenang pasar
Nih saat Menkeu Baru di wawancara @Bloomberg Tak lama Jokowi diangkat jd Pejabat Bloomberg Artinya jelas banget skenario adu domba : Purbaya vs Jokowi sedang dimainkan Tembakau vs farmasi Non Jokowi vs Termul Pro Pasar Rakyat vs Pro pasar Kapitalis Tinggal kita tunggu ; https://t.co/30bQ2bhGUb,nih saat menkeu baru di wawancara @bloomberg tak lama jokowi diangkat jd pejabat bloomberg artinya jelas banget skenario adu domba : purbaya vs jokowi sedang dimainkan tembakau vs farmasi non jokowi vs termul pro pasar rakyat vs pro pasar kapitalis tinggal kita tunggu ; https://t.co/30bq2bhgub,wawancara jokowi angkat jabat bloomberg banget skenario adu domba vs jokowi main tembakau vs farmasi non jokowi vs termul pro pasar rakyat vs pro pasar kapitalis tinggal tunggu
Day 1 hidup sebagai warga calon negara maju (modal bung purbaya sama bung dony aja untuk sementara) ,day 1 hidup sebagai warga calon negara maju (modal bung purbaya sama bung dony aja untuk sementara) ,day hidup warga calon negara maju modal dony aja
@ARSIPAJA Ingat kata2 Menkeu Purbaya atau BTP? Bikin mrk sibuk cari makan/kenyangkan perutnya. Kita emang dibuat bodoh. Sibuk urus perut lupa isi otak.,@arsipaja ingat kata2 menkeu purbaya atau btp? bikin mrk sibuk cari makan/kenyangkan perutnya. kita emang dibuat bodoh. sibuk urus perut lupa isi otak.,btp bikin sibuk cari makan kenyang perut emang bodoh sibuk urus perut lupa isi otak
Purbaya Ingatkan Pegawai Pajak Jangan Ganggu Warga yang Sudah Bayar https://t.co/CNKiTjucep,purbaya ingatkan pegawai pajak jangan ganggu warga yang sudah bayar https://t.co/cnkitjucep,ingat pegawai pajak ganggu warga bayar
Ekonom Puji 3 Kebijakan Ekonomi Menkeu Purbaya https://t.co/dIlyfHv2EQ via @InvestorID,ekonom puji 3 kebijakan ekonomi menkeu purbaya https://t.co/dilyfhv2eq via @investorid,ekonom puji bijak ekonomi via
Dari Panggung Mode ke Keluarga Ini Jejak Romantis Ida Yulidina dan Menkeu Purbaya https://t.co/KIRP83mjMu,dari panggung mode ke keluarga ini jejak romantis ida yulidina dan menkeu purbaya https://t.co/kirp83mjmu,panggung mode keluarga jejak romantis ida yulidina
Ida Yulidina Dari Sorot Lampu Mode ke Kehidupan Sederhana Mendampingi Menkeu Purbaya https://t.co/8jEGPazbgA,ida yulidina dari sorot lampu mode ke kehidupan sederhana mendampingi menkeu purbaya https://t.co/8jegpazbga,ida yulidina sorot lampu mode hidup sederhana damping
Ida Yulidina Mantan Model Wajah Femina yang Kini Hidup Sederhana Mendampingi Menkeu Purbaya https://t.co/glUXMtEfyE,ida yulidina mantan model wajah femina yang kini hidup sederhana mendampingi menkeu purbaya https://t.co/gluxmtefye,ida yulidina bekas pacar model wajah femina hidup sederhana damping
Purbaya bahaya secara politik. Dgn gayanya yg slengean tp serius dia disukai anggota2 dpr. Apabila langkah2 dia terbukti berhasil bakal melesat. Ada peluang dia bisa diusung parpol2. Calon wapres prabowo. Anies menurut saya sdh benar2 tamat karier politik nya.,purbaya bahaya secara politik. dgn gayanya yg slengean tp serius dia disukai anggota2 dpr. apabila langkah2 dia terbukti berhasil bakal melesat. ada peluang dia bisa diusung parpol2. calon wapres prabowo. anies menurut saya sdh benar2 tamat karier politik nya.,bahaya politik gaya slengean serius suka anggota dpr langkah bukti hasil lesat peluang usung parpol calon wapres prabowo anies tamat karier politik nya
@KemenkeuRI @Menkeu @DitjenPajakRI @KPK_RI @KompasTV @Metro_TV @tvOneNews @detikcom @tribunnews ; kata Menkeu Purbaya petuga spajak jng suka meras jg jng suka rekayasa unt kejar target https://t.co/tLaE1nmBkg,@kemenkeuri @menkeu @ditjenpajakri @kpk_ri @kompastv @metro_tv @tvonenews @detikcom @tribunnews ; kata menkeu purbaya petuga spajak jng suka meras jg jng suka rekayasa unt kejar target https://t.co/tlae1nmbkg,petuga spajak jng suka ras jng suka rekayasa unt kejar target
Alasan Menkeu Purbaya ke tempat pak @jokowi buat Kebo er.. @KemenkeuRI https://t.co/q4X7AKWTbf,alasan menkeu purbaya ke tempat pak @jokowi buat kebo er.. @kemenkeuri https://t.co/q4x7akwtbf,alas kebo er
Purbaya Yudhi Sadewa tegaskan penurunan bunga deposito efek kebijakan pemerintah suntik Rp200 T ke bank Himbara. Tuk dorong perputaran uang gerakkan ekonomi. Memang itu tujuan saya ujarnya. Sarankan Hotman belanjakan uangnya agar konsumsi &amp; investasi meningkat. @metrotv https://t.co/dF4mOSj64u,purbaya yudhi sadewa tegaskan penurunan bunga deposito efek kebijakan pemerintah suntik rp200 t ke bank himbara. tuk dorong perputaran uang gerakkan ekonomi. memang itu tujuan saya ujarnya. sarankan hotman belanjakan uangnya agar konsumsi &amp; investasi meningkat. @metrotv https://t.co/df4mosj64u,yudhi sadewa tegas turun bunga deposito efek bijak perintah suntik rupiah triliun bank himbara tuk dorong putar uang gerak ekonomi tuju saran hotman belanja uang konsumsi amp investasi tingkat
@hnirankara Ini penjelasan dari menteri keuangan Purbaya https://t.co/e3pB0ptN2z,@hnirankara ini penjelasan dari menteri keuangan purbaya https://t.co/e3pb0ptn2z,jelas menteri uang
Sayang sekali Indonesia masih diprediksi tumbuh di angka 5% Tapi kalau kebijakan Pak Purbaya bisa tepat kemungkinan pertumbuhan ekonomi kita bisa tembus di 6-7% semoga tahun depan bisa begitu,sayang sekali indonesia masih diprediksi tumbuh di angka 5% tapi kalau kebijakan pak purbaya bisa tepat kemungkinan pertumbuhan ekonomi kita bisa tembus di 6-7% semoga tahun depan bisa begitu,sayang indonesia prediksi tumbuh angka bijak tumbuh ekonomi tembus moga
Aduh Pak Purbaya cocok gak ya buat di idol-ing soalnya gua demen dia nyapnyap nya tuh VALID anjg,aduh pak purbaya cocok gak ya buat di idol-ing soalnya gua demen dia nyapnyap nya tuh valid anjg,aduh cocok idol ing demen nyapnyap nya valid anjg
Mengenal Tax Amnesty program pajak tidak ideal menurut Menkeu Purbaya https://t.co/vNs84uQoSn,mengenal tax amnesty program pajak tidak ideal menurut menkeu purbaya https://t.co/vns84uqosn,kenal tax amnesty program pajak ideal
@JamalBoegis @KemenkeuRI Berarti para pimpinan bank plat merah benar kata Purbaya cuma banyak main golf doang. Supaya pengusaha UMKM maju segera lakukan RUPS untuk mengganti pimpinan bank plat merah sebab memalukan. Tolol bin dungu kata RG,@jamalboegis @kemenkeuri berarti para pimpinan bank plat merah benar kata purbaya cuma banyak main golf doang. supaya pengusaha umkm maju segera lakukan rups untuk mengganti pimpinan bank plat merah sebab memalukan. tolol bin dungu kata rg,pimpin bank plat merah main golf doang usaha umkm maju laku rups ganti pimpin bank plat merah malu tolol bin dungu rg
Target 8 Persen Ekonomi Indonesia Menkeu Purbaya Tawarkan Jalan Koboi Sumitronomics https://t.co/AVUDaA3rLG,target 8 persen ekonomi indonesia menkeu purbaya tawarkan jalan koboi sumitronomics https://t.co/avudaa3rlg,target persen ekonomi indonesia tawar jalan koboi sumitronomics
@senandungtawa @orangeybee Bener kemarin juga abis liat menkeu purbaya katanya dia bakalan bikin kebijakan baru kalau bal thrifting udah gak diperbolehkan lagi ceunah. Karna penyakit ih ,@senandungtawa @orangeybee bener kemarin juga abis liat menkeu purbaya katanya dia bakalan bikin kebijakan baru kalau bal thrifting udah gak diperbolehkan lagi ceunah. karna penyakit ih ,kemarin abis liat bikin bijak bal thrifting boleh ceunah karna sakit ih
Visi Indonesia Emas 2045 Demokrat optimis Menkeu Purbaya mampu menjaga keseimbangan Fiskal dan Moneter #ahy #demokrat #fiskal #moneter https://t.co/tBV98UTPYs,visi indonesia emas 2045 demokrat optimis menkeu purbaya mampu menjaga keseimbangan fiskal dan moneter #ahy #demokrat #fiskal #moneter https://t.co/tbv98utpys,visi indonesia emas demokrat optimis jaga imbang fiskal moneter ahy demokrat fiskal moneter
@ijatxzul @BosPurwa Kalo kata alm Rizal Ramli menkeu terbalik..bukan terbaik..ap lg alm Rizal Ramli lulusan ITB sama dgn p purbaya,@ijatxzul @bospurwa kalo kata alm rizal ramli menkeu terbalik..bukan terbaik..ap lg alm rizal ramli lulusan itb sama dgn p purbaya,alm rizal ramli balik baik ap lg alm rizal ramli lulus itb p
@NarasiNewsroom Hayo luuh...Pak Purbaya mikir keras di angka defisit ituh!,@narasinewsroom hayo luuh...pak purbaya mikir keras di angka defisit ituh!,hayo luuh mikir keras angka defisit ituh
Gebrakan Purbaya tiada henti https://t.co/3iXSK5RcyV,gebrakan purbaya tiada henti https://t.co/3ixsk5rcyv,gebrak tiada henti
SIKAT PAK ‼️ IKAN SEPAT IKAN GABUS LEBIH CEPAT LEBIH BAGUS ‼️ IKAN SEPAT DIMAKAN BUAYA AYO CEPAT PAK PURBAYA ‼️,sikat pak ‼️ ikan sepat ikan gabus lebih cepat lebih bagus ‼️ ikan sepat dimakan buaya ayo cepat pak purbaya ‼️,sikat double exclamation mark ikan sepat ikan gabus cepat bagus double exclamation mark ikan sepat makan buaya ayo cepat double exclamation mark
Purbaya usung Sumitronomics guna kejar pertumbuhan ekonomi 8 persen https://t.co/5u3tVWsu96,purbaya usung sumitronomics guna kejar pertumbuhan ekonomi 8 persen https://t.co/5u3tvwsu96,usung sumitronomics kejar tumbuh ekonomi persen
$IHSG 8100. in purbaya we trust bismillah ga anjlok,$ihsg 8100. in purbaya we trust bismillah ga anjlok,ihsg in we trust bismillah anjlok
@YoezZar Menkeu Purbaya ini sepertinya menyasar wajib pajak kakap.,@yoezzar menkeu purbaya ini sepertinya menyasar wajib pajak kakap.,sasar wajib pajak kakap
@UNDLens @BosPurwa Menteri Keuangan Purbaya Yudhi Sadewa panggil marketplace seperti Tokopedia Bukalapak Blibli buat larang jual rokok ilegal mulai 1 Oktober tapi diminta secepatnya. Alasannya buat lindungi industri rokok legal. Bakal ada razia di warung juga dan sikat oknum Bea Cukai jika,@undlens @bospurwa menteri keuangan purbaya yudhi sadewa panggil marketplace seperti tokopedia bukalapak blibli buat larang jual rokok ilegal mulai 1 oktober tapi diminta secepatnya. alasannya buat lindungi industri rokok legal. bakal ada razia di warung juga dan sikat oknum bea cukai jika,menteri uang yudhi sadewa panggil marketplace tokopedia bukalapak blibli larang jual rokok ilegal oktober cepat alas lindung industri rokok legal razia warung sikat oknum bea cukai
Purbaya koboy is kinda onto something (masih memantau) Waktu itu juga menteri apa ya yg pinter bgt keren statemen2 awalnya eh tetep memble,purbaya koboy is kinda onto something (masih memantau) waktu itu juga menteri apa ya yg pinter bgt keren statemen2 awalnya eh tetep memble,koboy is kinda onto something pantau menteri pinter banget keren statemen eh tetep memble
Per hari ini IHSG ngerekor ATH sepanjang masa. Eh Purbaya https://t.co/sBtsNcuzYu,per hari ini ihsg ngerekor ath sepanjang masa. eh purbaya https://t.co/sbtsncuzyu,ihsg ngerekor ath eh
@sbyfess Kalo naik bus biasa kamu harus ke terminal purbaya dulu biasanya aku naik mira kadang sumber. Terakhir naik bus biasa harganya masih 9k untuk sby-mjk. Kalo sekrang kurang tau karna sering naik transjatim.,@sbyfess kalo naik bus biasa kamu harus ke terminal purbaya dulu biasanya aku naik mira kadang sumber. terakhir naik bus biasa harganya masih 9k untuk sby-mjk. kalo sekrang kurang tau karna sering naik transjatim.,bus terminal mira kadang sumber bus harga k sby mjk sekrang tau karna transjatim
@gyutobys @sweetboyyy05 Purbaya Yudhi Sadewa adalah Menteri Keuangan Indonesia saat ini dilantik pada 8 September 2025 oleh Presiden Prabowo Subianto menggantikan Sri Mulyani Indrawati. Pendidikan: Sarjana Teknik Elektro ITB PhD Ekonomi dari Purdue University AS. Karir: - 1989-1994: Field Engineer,@gyutobys @sweetboyyy05 purbaya yudhi sadewa adalah menteri keuangan indonesia saat ini dilantik pada 8 september 2025 oleh presiden prabowo subianto menggantikan sri mulyani indrawati. pendidikan: sarjana teknik elektro itb phd ekonomi dari purdue university as. karir: - 1989-1994: field engineer,yudhi sadewa menteri uang indonesia lantik september presiden prabowo subianto ganti sri mulyani indrawati didik sarjana teknik elektro itb phd ekonomi purdue university as karir field engineer
Dua duanya cuma untungkan para pejabat dan sama2 nguras rakyat bedanya Sri Mulyani secara lgsg dan Purbaya secara gak lgsg. Kredit itu pinjaman dan itu harus dibayar sesuai waktunya. Rakyat benar2 dibodohi. Harusnya pajak WNA yg diperbesar dan ditekan.,dua duanya cuma untungkan para pejabat dan sama2 nguras rakyat bedanya sri mulyani secara lgsg dan purbaya secara gak lgsg. kredit itu pinjaman dan itu harus dibayar sesuai waktunya. rakyat benar2 dibodohi. harusnya pajak wna yg diperbesar dan ditekan.,dua untung jabat nguras rakyat beda sri mulyani lgsg lgsg kredit pinjam bayar sesuai rakyat bodoh pajak wna besar tekan
@tempodotco Padahal Purbaya juga menjelaskan lebih lanjut kenapa cukai rokok mahal. Tempo harusnya berimbang. Seperti hater saja ,@tempodotco padahal purbaya juga menjelaskan lebih lanjut kenapa cukai rokok mahal. tempo harusnya berimbang. seperti hater saja ,cukai rokok mahal tempo imbang hater
@itbofficial plis kasih tau itu menteri apa-apa jgn kicau duluan dah. apa lu orang gk malu punya lulusan macam purbaya teknik lintas kerjaan jdi kemenkeu begitu kerjanya? astaghfirullah.,@itbofficial plis kasih tau itu menteri apa-apa jgn kicau duluan dah. apa lu orang gk malu punya lulusan macam purbaya teknik lintas kerjaan jdi kemenkeu begitu kerjanya? astaghfirullah.,plis kasih tau menteri jgn kicau duluan orang malu lulus teknik lintas kerja jdi kemenkeu kerja astaghfirullah
purbaya knp ya kocak bgt bandingin inflasi indo dengan malaysia x singapura. emang nih menteri kgk tau apa-apa anjir gedek bgt sumpah. ‍ gue tuh pernah icip-icip bangku kuliah akuntansi bos. seenggaknya gue teh pernah dikasih tau dosen.,purbaya knp ya kocak bgt bandingin inflasi indo dengan malaysia x singapura. emang nih menteri kgk tau apa-apa anjir gedek bgt sumpah. ‍ gue tuh pernah icip-icip bangku kuliah akuntansi bos. seenggaknya gue teh pernah dikasih tau dosen.,kocak banget bandingin inflasi indo malaysia x singapura emang menteri kgk tau gedek banget sumpah icip icip bangku kuliah akuntansi bos enggak teh kasih tau dosen
Purbaya ini lama2 kek elon musk wkwk,purbaya ini lama2 kek elon musk wkwk,kek elon musk
Menkeu Purbaya Yudhi Sadewa Peringatkan Pegawai Pajak agar Tidak Peras Para Pembayar Wajib Pajak : Sudah bayar jangan di ganggu | KADUNGORA INFO https://t.co/AW0zcldyaG,menkeu purbaya yudhi sadewa peringatkan pegawai pajak agar tidak peras para pembayar wajib pajak : sudah bayar jangan di ganggu | kadungora info https://t.co/aw0zcldyag,yudhi sadewa ingat pegawai pajak peras bayar wajib pajak bayar ganggu kadungora info
Reli saham empat emiten rokok di Bursa Efek Indonesia (BEI) masih berlanjut imbas Menteri Keuangan Purbaya Sadewa yang berencana meninjau ulang kebijakan cukai rokok yang sempat dilanggengkan oleh Sri Mulyani pada masa jabatannya. Baca selengkapnya: https://t.co/fFrGDf7yYR https://t.co/ki3E4zw244,reli saham empat emiten rokok di bursa efek indonesia (bei) masih berlanjut imbas menteri keuangan purbaya sadewa yang berencana meninjau ulang kebijakan cukai rokok yang sempat dilanggengkan oleh sri mulyani pada masa jabatannya. baca selengkapnya: https://t.co/ffrgdf7yyr https://t.co/ki3e4zw244,reli saham emiten rokok bursa efek indonesia bei lanjut imbas menteri uang sadewa rencana tinjau ulang bijak cukai rokok langgeng sri mulyani jabat baca lengkap
@70a34a20214241f @nonayenaje59948 @BosPurwa @bankmandiri @KemenkeuRI @lps_idic Berdasarkan data terbaru Juni 2025 total kredit Bank Mandiri Rp1.701 T (konsolidasi) mendekati DPK Rp1.828 T dengan LDR 90 1% (bank only). Pasca-injeksi Rp55 T September LDR turun lebih lanjut ~87-88%. Menkeu Purbaya sebut ekonomi melambat karena likuiditas masyarakat kering,@70a34a20214241f @nonayenaje59948 @bospurwa @bankmandiri @kemenkeuri @lps_idic berdasarkan data terbaru juni 2025 total kredit bank mandiri rp1.701 t (konsolidasi) mendekati dpk rp1.828 t dengan ldr 90 1% (bank only). pasca-injeksi rp55 t september ldr turun lebih lanjut ~87-88%. menkeu purbaya sebut ekonomi melambat karena likuiditas masyarakat kering,dasar data baru juni total kredit bank mandiri rupiah triliun konsolidasi dekat dpk rupiah triliun ldr bank only pasca injeksi rupiah triliun september ldr turun ekonomi lambat likuiditas masyarakat kering
@FPKSDPRRI Pak Purbaya mikir ke sini ga ya ?,@fpksdprri pak purbaya mikir ke sini ga ya ?,mikir
Di tengah sorotan terhadap manipulasi data sindiran terhadap kebijakan lama dan gelombang kritik publik Purbaya berdiri sebagai figur yang tak biasa. Beliau tidak hanya membela angka tapi membela narasi. Ia menyusun ulang cara kita memahami ekonomi. https://t.co/fUN8dyEXr0,di tengah sorotan terhadap manipulasi data sindiran terhadap kebijakan lama dan gelombang kritik publik purbaya berdiri sebagai figur yang tak biasa. beliau tidak hanya membela angka tapi membela narasi. ia menyusun ulang cara kita memahami ekonomi. https://t.co/fun8dyexr0,sorot manipulasi data sindir bijak gelombang kritik publik diri figur beliau bela angka bela narasi susun ulang paham ekonomi
@belajarcuriga @Urrangawak Ya di awal 2025 ada kasus seperti kepala kantor pajak yang jadi tersangka pemerasan (Februari 2025). Namun Menteri Keuangan Purbaya baru saja (23/9/2025) tegaskan tak ada lagi cerita pegawai pajak memeras dengan rencana buka saluran pengaduan untuk wajib pajak. Sumber:,@belajarcuriga @urrangawak ya di awal 2025 ada kasus seperti kepala kantor pajak yang jadi tersangka pemerasan (februari 2025). namun menteri keuangan purbaya baru saja (23/9/2025) tegaskan tak ada lagi cerita pegawai pajak memeras dengan rencana buka saluran pengaduan untuk wajib pajak. sumber:,kepala kantor pajak sangka peras februari menteri uang tegas cerita pegawai pajak peras rencana buka salur adu wajib pajak sumber
Ditunggu gebrakan selanjutnya. Sehat-sehat Pak Purbaya. https://t.co/2ibQxeT6QX,ditunggu gebrakan selanjutnya. sehat-sehat pak purbaya. https://t.co/2ibqxet6qx,tunggu gebrak sehat sehat
 Jadi IKN masih didorong. Tahun depan lebih cepat lagi kata Purbaya https://t.co/KDqBunsM1N, jadi ikn masih didorong. tahun depan lebih cepat lagi kata purbaya https://t.co/kdqbunsm1n,ikn dorong cepat
@catsbutanything muka purbaya udh kaya anak SMA dpt piala class meeting cabang basket aja no sense of responsibility,@catsbutanything muka purbaya udh kaya anak sma dpt piala class meeting cabang basket aja no sense of responsibility,muka kaya anak dpt piala class meeting cabang basket aja no sense of responsibility
sm 1 - purbaya 3,sm 1 - purbaya 3,
Purbaya sosok Menteri Keuangan yang kerap menuai sorotan dengan gaya penuh sensasi. Namun di balik itu ia menunjukkan langkah nyata yang membawa perubahan positif sejauh ini. Kadang gebrakan besar memang lahir dari sosok yg berani tampil berbeda. https://t.co/y7p0Tn2vmE,purbaya sosok menteri keuangan yang kerap menuai sorotan dengan gaya penuh sensasi. namun di balik itu ia menunjukkan langkah nyata yang membawa perubahan positif sejauh ini. kadang gebrakan besar memang lahir dari sosok yg berani tampil berbeda. https://t.co/y7p0tn2vme,sosok menteri uang kerap tuai sorot gaya penuh sensasi langkah nyata bawa ubah positif kadang gebrak lahir sosok berani tampil beda
@PresidenKopi setuju pak purbaya ,@presidenkopi setuju pak purbaya ,tuju
@BosPurwa Sehat sehat pak Purbaya Tetap Konsisten ya pak Walaupun di depan nanti banyak orang / kelompok yang tidak suka dengan kebijakan bapak dan ingin menjatuhkan Bapak Tuhan Yesus memberkati setiap langkah dan keputusan Bapak untuk meningkatkan Ekonomi Indonesia.,@bospurwa sehat sehat pak purbaya tetap konsisten ya pak walaupun di depan nanti banyak orang / kelompok yang tidak suka dengan kebijakan bapak dan ingin menjatuhkan bapak tuhan yesus memberkati setiap langkah dan keputusan bapak untuk meningkatkan ekonomi indonesia.,sehat sehat konsisten orang kelompok suka bijak jatuh tuhan yesus kati langkah putus tingkat ekonomi indonesia
@BosPurwa Pantau dulu kalo masih glazing Purbaya terus block aka,@bospurwa pantau dulu kalo masih glazing purbaya terus block aka,pantau glazing block aka
@tempodotco Saya di sisi pak purbaya,@tempodotco saya di sisi pak purbaya,sisi
@kompascom Bloomberg dalam beberapa pekan terakhir ini: 1. Wartawannya dibecandain oleh Menkeu Purbaya 2. Jokowi jadi advisor 3. Prabowo bertemu dgn pendiri Bloomberg. Kira2 mau ada apa ya karena tb2 Bloomberg muncul terus nih.,@kompascom bloomberg dalam beberapa pekan terakhir ini: 1. wartawannya dibecandain oleh menkeu purbaya 2. jokowi jadi advisor 3. prabowo bertemu dgn pendiri bloomberg. kira2 mau ada apa ya karena tb2 bloomberg muncul terus nih.,bloomberg pekan wartawannya dibecandain jokowi advisor prabowo temu diri bloomberg tb bloomberg muncul
Anggito Gantikan Purbaya Publik Menanti Inovasi Baru di LPS https://t.co/mdgtxnh7fI,anggito gantikan purbaya publik menanti inovasi baru di lps https://t.co/mdgtxnh7fi,anggito ganti publik inovasi lps
@tempodotco Ada jutaan petani cengkih &amp; tembakau bergantung dari rokok (pasar); ada ribuan buru hidup dari industri rokok. Tepat kebijakan menkeu Purbaya tinjau ulang cukai rokok tinggi sumber phk massal &amp; menjamurnya rokok2 ilegal.,@tempodotco ada jutaan petani cengkih &amp; tembakau bergantung dari rokok (pasar); ada ribuan buru hidup dari industri rokok. tepat kebijakan menkeu purbaya tinjau ulang cukai rokok tinggi sumber phk massal &amp; menjamurnya rokok2 ilegal.,juta tani cengkih amp tembakau gantung rokok pasar ribu buru hidup industri rokok bijak tinjau ulang cukai rokok sumber phk massal amp jamur rokok ilegal
@Urrangawak Pak Purbaya @KemenkeuRI tlg pajak kendaraan dipermudah prosesnya rubah aturannya sesuai dengan perkembangan teknologi hari gini masih harus pakai ktp asli buat apa e-ktp dan single identifikasi. Jgn bikin org taat pajak jadi males byr pajak,@urrangawak pak purbaya @kemenkeuri tlg pajak kendaraan dipermudah prosesnya rubah aturannya sesuai dengan perkembangan teknologi hari gini masih harus pakai ktp asli buat apa e-ktp dan single identifikasi. jgn bikin org taat pajak jadi males byr pajak,tlg pajak kendara mudah proses rubah atur sesuai kembang teknologi gin pakai ktp asli e ktp single identifikasi jgn bikin orang taat pajak males byr pajak
